Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;59.1018;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;59.1022;%spl_present;%romance;2%;%intransitive
CMAELR3-M23;59.1025;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;59.1029;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;59.1029;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;59.1031;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;59.1031;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;59.1033;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;60.1038;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;60.1038;%spl_present;%germanic;1%;%intransitive
